Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Burglary,5737 S. University (Student Counseling Center),6/26/13 8:36 AM,6/26/13 3:00 AM to 8:15 AM,"Unknown person cut screen on window to gain entry to office / Items moved, but no property was taken",Open,C00685
Burglary,6021 S. Kimbark (UC Apartment Bldg.),6/26/13 11:37 AM,6/26/13 11:37 AM,Witness observed unknown man enter basement of apartment building / UCPD officer responded and arrested subject / Charged with burglary and possession of burglary tools,Arrest,C00686
Theft,6035 S. Kimbark (UC Apartment Bldg.),6/26/13 4:55 PM,6/25/13 to 6/26/13 8:00 PM to 5:45 AM,Unknown person took secured bicycle from yard of apartment building,Open,C00687
Information / Missing Person,University between 54th & 55th,6/26/13 7:29 PM,6/25/13 to 6/26/13 5:45 PM to 7:29 PM,Person reported missing / Later notified that person returned home safely / CPD case HW336578,CPD Case,C00688
Warrant Arrest,5226 S. Harper,6/26/13 11:33 PM,6/26/13 11:33 PM,UCPD officers arrested a man wanted on a burglary warrant from Cook County Sheriff's Office,Arrest,C00689
Found Property,6021 S. Cottage Grove (Alley),6/27/13 7:34 AM,6/27/13 7:15 AM,Staff member found two live rounds of .22 cal. ammunition in the alley / Inventoried by UCPD,Closed,C00690
Theft,1554 E. 55th St. (Walgreens),6/27/13 9:43 AM,6/27/13 9:43 AM,UCPD officer arrested a male subject who had taken merchandise from the store without paying for same / Charged with felony theft,Arrest,C00691
Information,Woodlawn between 52nd & 53rd,6/27/13 12:49 PM,6/27/13 9:00 AM to 12:30 PM,Unknown person(s) forced entry into and took items from an off-campus private apartment / CPD case,CPD,C00692
Theft,5706 S. University (Reynolds Club Bike Rack),6/27/13 2:30 PM,6/27/13 1:45 PM to 2:25 PM,Bicycle secured to bike rack taken by unknown person,Open,C00693
Information,5900 S. Maryland (Public Way),6/27/13 2:53 PM,6/27/13 2:53 PM,"Unknown male asked victim for use of iPhone / When victim handed it over, the suspect fled with the phone / CPD case HW337731",CPD,C00694
Theft,1500 E. Midway Pl.,6/27/13 7:01 PM,6/27/13 7:01 PM,UCPD officer arrested a male subject for stealing a bicycle / Charged with felony theft,Arrest,C00695
Information,5000 S. Dorchester,6/27/13 10:26 PM,6/27/13 4:00 PM to 9:00 PM,Bicycle chained to pole in church parking lot taken by unknown person,Closed,C00696
Theft,924 E. 57th St. (Knapp Center Bike Rack),6/28/13 12:54 PM,6/26/13 8:00 AM to 7:10 PM,Unknown person took a headlight and tail light from bicycle secured to the bike rack,Open,C00697
Found Property,1116 E. 59th St. (Harper),6/28/13 8:00 PM,6/28/13 8:00 PM,Two power drills found near scaffolding at Harper construction site / Inventoried at UCPD HQ for safekeeping,Closed,C00698
Theft,Harper near 57th,6/29/13 6:18 PM,6/29/13 6:18 PM,UCPD officer arrested a man for stealing a bicycle,Arrest,C00699
Warrant Arrest,5400 S. Lake Park,6/30/13 5:50 PM,6/30/13 5:50 PM,"UCPD officer stopped a motorist for a traffic violation and discovered the person was wanted on a warrant by Northlake, IL PD",Arrest,C00700
Theft,1100 E. 57th St. (Regenstein),7/1/13 2:58 PM,7/1/13 1:00 PM to 1:05 PM,Victim left cell phone unattended on shelf above sink in washroom / Came back within minutes but phone had been taken by unknown person,Open,C00701
Information,Greenwood between 53rd & 54th,7/1/13 6:13 PM,6/28/13 to 7/1/13 6:00 PM to 6:00 PM,Unknown person(s) gained entry to off campus apartment by forcing window / Took various items,CPD Case,C00702
Information,5758 S. Dorchester (DCAM),7/2/13 10:44 AM,6/6/13 to 6/7/13 8:00 AM to 10:00 AM,Discharged patient unable to locate jewelry she last recalls seeing prior to having surgery,Closed,C00703
Information,6000 S. Dorchester,7/2/13 4:45 PM,7/2/13 4:45 PM,UC vehicle involved in traffic crash / CPD report HW345229,CPD Case,C00704
Void,Void,Void,Void,Number generated in error,Void,C00705
Theft,5815 S. Maryland (Mitchell),7/3/13 9:44 AM,7/2/13 to 7/3/13 5:00 PM to 9:00 AM,Laptop computer taken from secured office,Open,C00706
Theft,915 E. 60th St. (Logan Center Bike Rack),7/3/13 2:23 PM,7/3/13 9:45 AM to 2:20 PM,Unknown person took secured bicycle from bike rack,Open,C00707
Theft,5839 S. Maryland (Wyler Hospital),7/3/13 2:42 PM,7/2/13 2:55 PM to 3:50 PM,Unattended cell phone taken from unsecured office,Open,C00708
Lost Property,929 E. 57th St. (Gordon Center),7/3/13 5:56 PM,7/3/13 1:50 PM to 5:55 PM,Owner unable to locate purse left in 3rd floor atrium at the Gordon Center,Closed,C00709
Information,5300 S. Drexel,7/4/13 12:55 AM,7/4/13 12:55 AM,Two unknown males implying they had a weapon (none seen) took property from a victim walking on the sidewalk off campus / CPD case HW347238,CPD Case,C00710
Theft,5815 S. Maryland (Mitchell),7/4/13 4:23 PM,6/27/13 to 7/4/13 3:00 AM to 4:10 PM,Shirt taken from closet in patient's room,Open,C00711
Assist Other Agency,1635 E. 55th St.,7/4/13 5:19 PM,7/4/13 5:15 PM,Male subject struck man with his fist in an unprovoked assault / UCPD officer detained suspect until CPD arrived on the scene / CPD case HW348011,CPD Case,C00712
Information,Ellis between 54th & 55th,7/4/13 10:05 PM,7/4/13 7:15 PM to 10:00 PM,Unknown person(s) entered off campus apartment and took property / No sign of forced entry CPD case,CPD Case,C00713
Information,54th Pl. near Ellis,7/5/13 2:06 AM,7/5/13 2:00 AM,Man unloading his car parked on the street off campus was struck on the head with a flashlight by two unknown males / Declined medical treatment / CPD case HW348560,CPD Case,C00714
Assist Other Agency,5400 S. Harper,7/5/13 4:03 AM,7/5/13 4:00 AM,UCPD assisted CPD in arrest of a male who struck another male during an argument on the street off campus / CPD case HW348679,CPD Case,C00715
Assist Other Agency,Greenwood between 53rd & 54th,7/5/13 6:06 AM,7/5/13 6:00 AM,UCPD assisted CPD in detaining a male for breaking a window in an off campus apartment building / CPD case HW348751,CPD Case,C00716
Theft,929 E. 57th St. (Gordon Center),7/5/13 1:24 PM,7/5/13 10:30 AM to 1:00 PM,Wallet taken from unattended bag in office / Subsequent unauthorized use of credit card reported,Open,C00717
Warrant Arrest,1309 E. 57th St.,7/6/13 8:27 AM,7/6/13 8:27 AM,"UCPD officer arrested motorist during a traffic stop after being advised of an active warrant from Kendall County, IL",Arrest,C00718
Theft,901 E. 58th St. (Mitchell ER),7/6/13 10:42 AM,7/6/13 9:00 AM to 10:20 AM,Unattended stethoscope taken from nurses station / Property taken by mistake and returned to owner / Unfounded,Unfounded,C00719
Found Property,5100 S. Lake Shore Dr.,7/6/13 11:44 AM,7/5/13 11:00 PM,Purse found on lakefront turned in to UCPD / Inventoried for safekeeping at UCPD HQ,Closed,C00720
Information,55th & Kenwood (Nichols Park),7/6/13 12:31 PM,7/6/13 12:25 PM,Three men demanded man hand over his wallet / Wallet returned to owner by suspects / Nothing taken / Off campus CPD case,CPD Case,C00721
Injured Person,1365 E. 60th St. (Orthogenic School),7/7/13 11:04 PM,7/7/13 11:00 PM,Injured person transported to ER by CFD EMS,Closed,C00722
Theft from Motor Vehicle,1000 E. Midway Pl.,7/8/13 6:58 PM,7/8/13 5:30 AM to 7:00 PM,Unknown person took battery from a car parked on the public way,Open,C00723
Information,5400 S. Kimbark,7/9/13 9:20 AM,7/9/13 9:10 AM,"Two males, one armed with a handgun, took property from a man walking on the sidewalk off campus and fled in a waiting vehicle / CPD case HW354466",CPD Case,C00724
Warrant Arrest,5837 S. Maryland,7/9/13 12:19 PM,7/9/13 12:19 PM,UCPD officers investigating suspicious activity arrested a male subject for violation of parole,Arrest,C00725
Medical Call,5625 S. Ellis (Max Palevsky),7/9/13 12:33 PM,7/9/13 12:33 PM,Sick person transported to ER by CFD EMS,Closed,C00726
Assist Other Agency,5700 S. Cottage Grove,7/9/13 10:00 AM,7/9/13 10:00 AM,UCPD officers stopped a vehicle matching the description of car used by suspects in armed robbery (C00724) /  Handgun recovered in vehicle / Suspects turned over to CPD,CPD Case,C00727
Information,1307 E. Midway Pl.,7/9/13 5:48 PM,7/9/13 8:00 AM to 5:45 PM,Unknown person removed battery from vehicle parked on the street / CPD HW368406,CPD Case,C00728
Information,54th between Kimbark & Kenwood (Nichols Park),7/9/13 11:17 PM,7/9/13 11:05 PM,Two unknown females forcibly took iPhone from victim walking through the park off campus / Victim not injured / CPD case,Open,C00729
Theft,5220 S. Kenwood (Grosvenor Apts.),7/10/13 9:56 AM,7/9/13 to 7/10/13 9:00 PM to 9:30 AM,Unknown person took secured bicycle left in front of apartment building off campus,Open,C00730
Theft,1554 E. 55th St. (Walgreens),7/10/13 11:21 AM,7/10/13 11:15 AM,UCPD officer arrested a male subject for taking merchandise from store without paying,Arrest,C00731
Information / Lost Property,1212 E. 59th St. (Ida Noyes),7/10/13 2:55 PM,5/1/13 to 6/1/13 9:00 AM to 9:00 AM,"Two hundred dollars cash missing from department ""cash envelops"" / Reclassified to Lost or Misplaced Property / No evidence of theft",Closed,C00732
Traffic Accident / Personal Injury,1115 E. 57th St.,7/11/13 2:44 PM,7/11/13 2:40 PM,Pedestrian struck by vehicle / Transported to ER by CFD EMS / CPD case HW357828,CPD Case,C00733
Information,6054 S. Drexel,7/12/13 8:38 AM,6/14/13 to 7/8/13 12:00 PM to 5:20 PM,Investigation relating to threats,Open,C00734
Warrant Arrest,5500 S. Everett,7/12/13 11:14 PM,7/12/2013  11:14:PM,Subsequent to a traffic stop UCPD officers arrested a man wanted on a warrant from IL Dept. of Corrections,Arrest,C00735
Information,5455 S. Blackstone (Public Way),7/12/13 11:45 PM,7/12/13 11:45 PM,Male subject appeared to be extremely intoxicated transported to ER by CFD EMS,Closed,C00736
Information,6054 S. Drexel,7/13/13 8:26 PM,7/13/13 8:26 PM,"Information relating to a person missing from North Chicago, IL",Closed,C00737
Traffic Accident,5135 S. Kenwood,7/13/13 11:15 PM,7/13/13 10:18 PM,Property damage traffic accident / UC vehicle involved / CPD report HW436361,CPD,C00738
Information,901 E. 58th St. (Mitchell ER),7/14/13 11:25 PM,7/14/13 5:00 PM,Family disturbance in ER / Peace restored,Closed,C00739
Information,5300 S. Ellis,7/15/13 4:14 AM,7/15/13 4:14 AM,UCPD officers interviewed two individuals  reported to have been checking doors on cars parked on the street,Closed,C00740
Information,1307 E. 60th St. (New Graduate Res. Hall),7/15/13 10:03 AM,7/15/13 10:03 AM,Sick person transported to ER by CFD EMS,Closed,C00741
Lost Property,1131 E. 57th St. (Hutchinson Commons),7/15/13 1:04 PM,7/15/13 12:20 PM,Individual reported losing UC ID card while in Hutchinson Commons,Closed,C00742
Theft from Motor Vehicle,915 E. 60th St.,7/15/13 3:06 PM,7/15/13 7:00 AM to 3:00 PM,Unknown person took battery from a vehicle parked on the street,Open,C00743
Warrant Arrest,902 E. 54th St.,7/16/13 12:15 PM,7/16/13 12:15 PM,UCPD officers arrested a male who was wanted by CPD on an active warrant,Arrest,C00744
Information,Blackstone between 50th & 51st,7/16/13 10:13 PM,7/16/13 8:00 PM to 10:00 PM,Unknown person(s) entered private apartment off campus and took property / CPD case,CPD Case,C00745
Warrant Arrest,5500 S. Woodlawn,7/17/13 8:12 AM,7/17/13 8:12 AM,"UCPD officer arrested a motorist for driving with a suspended driver's license, no insurance and an active arrest warrant from Cook County Sheriff's Office",Arrest,C00746
Theft from Motor Vehicle,1150 E. Midway Pl.,7/17/13 3:46 PM,7/17/13 7:00 AM to 3:45 PM,Unknown person took catalytic converter from a Chevrolet Cavalier parked on the street,Open,C00747
Information,5100 S. Lake Park,7/17/13 8:48 PM,7/17/13 8:15 PM,Unknown male subject snatched iPhone from the hand of a victim walking on the sidewalk off campus and ran off / CPD case,CPD Case,C00748
Information / Damage to Property,6054 S. Drexel,7/18/13 7:35 AM,7/18/13 7:30 AM,Report of non-criminal damage to equipment,Closed,C00749
Injured Person,5550 S. Greenwood (Public Way),7/18/13 11:12 AM,7/18/13 11:12 AM,"Woman tripped over high curb on the street injuring her forehead, left ankle and hand / Transported to ER by CFD EMS",Closed,C00750
Theft,900 E. 57th St. (Knapp Center),7/18/13 2:21 PM,7/17/13 1:30 PM to 5:00 PM,Unknown person took secured bicycle from bike rack,Open,C00751
Information,5550 S. Greenwood (Public Way),7/18/13 4:46 PM,7/18/13 8:00 AM to 4:30 PM,Unknown person took battery from a Chevrolet Malibu parked on the street / CPD case HW368406,CPD Case,C00752
Injured Person,5530 S. Ellis (Ratner A.C.),7/18/13 6:46 PM,7/18/13 6:40 PM,Man twisted his left knee while playing basketball / Transported to ER by CFD EMS,Closed,C00753
Lost Property,1212 E. 59th St. (Ida Noyes Pub),7/19/13 9:28 AM,7/18/13 11:20 PM to 11:30 PM,Woman lost wallet while in the Pub,Closed,C00754
Traffic / Warrant Arrest,6332 S. Maryland,7/19/13 1:25 PM,7/19/13 1:25 PM,UCPD officer arrested a motorist for driving without a valid driver's license and no insurance / Also arrested for an active warrant from Cook County,Arrest,C00755
Found Property,5555 S. Ellis (Young Building),7/19/13 8:55 AM,7/19/13 8:00 AM,Cell phone found in parking lot / Returned to owner,Closed,C00756
Information,1155 E. 60th St. (Harris School Parking Lot),7/19/13 3:04 PM,7/19/13 10:00 AM to 2:50 PM,Two wheels removed from car parked in the parking lot CPD case,CPD,C00757
Disturbance,901 E. 58th St. (Mitchell ER),7/16/13 7:30 PM,7/16/13 7:30 PM,Disturbance with patient / Peace restored,Closed,C00758
Theft,5700 S. Maryland (CCD),7/19/13 8:59 PM,7/19/13 8:00 PM to 8:15 PM,Visitor's purse left unattended in patient's room taken by an unknown person,Open,C00759
Criminal Trespass to Land,6005 S. Woodlawn,7/20/13 2:20 PM,7/20/13 2:15 PM,"Male suspect illegally entered UC building without authority / Fled when challenged by UC staff member / Arrested by UCPD officers / On parole, charged with felony possession of burglary tools",Arrest,C00760
Theft,1100 E. 57th St. (Regenstein),7/20/13 3:55 PM,7/20/13 12:00 PM to 1:30 PM,Victim fell asleep at table on 3rd floor / Unknown person took iPhone and $40 from wallet,Open,C00761
Theft,1100 E. 57th St. (Regenstein),7/21/13 1:35 PM,7/21/13 1:15 PM to 1:20 PM,Unknown person took unattended iPhone on 2nd floor,Open,C00762
Found Property,1116 E. 59th St. (Harper),7/21/13 9:07 PM,7/21/13 5:50 PM,Set of keys found in 1st floor of Harper Library / Inventoried at UCPD HQ for safekeeping,Closed,C00763
Information,5700 S. Maryland (CCD),7/21/13 8:28 PM,7/21/13 12:00 AM to 2:00 AM,"While visiting a patient, ex-girlfriend battered victim and fled / CPD report HW373106",CPD Case,C00764
Recovered Motor Vehicle,5100 S. Ellis,7/21/13 10:18 PM,7/21/13 10:18 PM,Subsequent to a traffic stop UCPD officers recovered a vehicle that had been reported stolen to CPD / Victim declined charges / CPD HW361283,CPD Case,C00765
Information,1442 E. 59th St. (Public Way),7/22/13 6:09 AM,7/22/13 6:05 AM,"Two males, one armed with a handgun, took a cell phone from a victim walking on the sidewalk before running to a waiting vehicle / CPD case HW373379",CPD Case,C00766
Information / Damage to Property,6054 S. Drexel,7/22/13 8:55 AM,7/22/13 6:45 AM,Minor damage reported to UC vehicle,Closed,C00767
Theft from Motor Vehicle,5506 S. Greenwood,7/22/13 9:14 AM,7/19/13 7:30 AM to 4:30 PM,Unknown person(s) took battery from a Chevrolet Malibu parked on the street,Open,C00768
Theft,5550 S. University (Crown Field House Bike Rack),7/22/13 5:04 PM,7/22/13 4:15 PM to 5:00 PM,Unknown person took bicycle that was secured to bike rack,Open,C00769
Information,Greenwood between 61st & 62nd,7/22/13 6:09 PM,7/22/13 10:30 AM to 5:00 PM,Unknown person(s) gained entry to off campus private apartment via an unsecured window and took various items,CPD Case,C00770
Theft,5758 S. Maryland (DCAM),7/23/13 9:12 AM,7/22/13 1:10 PM to 2:00 PM,"While dining in the cafeteria, victim placed her purse on the rear of her chair / Unknown person removed wallet from purse / Subsequent unauthorized use of credit cards reported",Open,C00771
Assist Other Agency,1322 E. 57th St.,7/23/13 9:57 AM,7/23/13 9:55 AM,Man snatched purse from victim walking on the sidewalk off campus / Suspect fled and dropped the purse / Suspect arrested by CPD / CPD case HW375261,CPD,C00772
Hazardous Material Incident,58th &. Ellis (Construction Site),7/23/13 9:38 AM,7/23/13 9:36 AM,Natural gas pipe broken in construction accident / CFD and Peoples Gas responded / Gas pipe repaired / No injuries reported,Closed,C00773
Criminal Trespass to Land,5757 S. University (Construction Site),7/23/13 1:21 PM,7/20/13 2:00 PM,Unknown male was observed trespassing on construction site in violation of posted notices / Suspect fled when confronted by construction worker,Closed,C00774
Traffic Violations,5400 S. Drexel,7/23/13 9:11 PM,7/23/13 9:11 PM,UCPD officers arrested a motorist for committing several traffic violations and eluding police,Arrest,C00775
Criminal Damage to Vehicle,827 E. 55th St.,7/24/13 4:05 PM,7/24/13 6:15 AM to 4:00 PM,Unknown person smashed passenger's side window of a car parked on the street,Open,C00776
Information,6347 S. Cottage Grove,7/24/13 4:56 PM,7/24/13 4:56 PM,UC owned vehicle involved in a traffic accident / CPD case HW377282,CPD Case,C00777
Found Property,5700 S. Maryland (CCD),7/24/13 7:05 PM,7/24/13 6:50 PM,Staff found suspected controlled substance in patient's belongings / Turned over to and inventoried by UCPD,Closed,C00778
Sick Person,6031 S. Ellis (SCRH),7/25/13 8:31 AM,7/25/13 8:31 AM,Sick person removed to ER by CFD EMS,Closed,C00779
Information,5550 S. Greenwood,7/25/13 10:31 AM,7/23/13 to 7/25/13 10:00 AM to 10:00 AM,"Report of annoying, unsolicited phone calls and email messages",Closed,C00780
